👎🏽|thumbs-down-medium-skin-tone|👎|thumbs-down|true|1
👎🏾|thumbs-down-medium-dark-skin-tone|👎|thumbs-down|true|1
👎🏿|thumbs-down-dark-skin-tone|👎|thumbs-down|true|1
👊|oncoming-fist|👊|oncoming-fist|true|1
👊🏻|oncoming-fist-light-skin-tone|👊|oncoming-fist|true|1
👊🏼|oncoming-fist-medium-light-skin-tone|👊|oncoming-fist|true|1
👊🏽|oncoming-fist-medium-skin-tone|👊|oncoming-fist|true|1
👊🏾|oncoming-fist-medium-dark-skin-tone|👊|oncoming-fist|true|1
👊🏿|oncoming-fist-dark-skin-tone|👊|oncoming-fist|true|1
✊|raised-fist|✊|raised-fist|true|1
✊🏻|raised-fist-light-skin-tone|✊|raised-fist|true|1
✊🏼|raised-fist-medium-light-skin-tone|✊|raised-fist|true|1
✊🏽|raised-fist-medium-skin-tone|✊|raised-fist|true|1
✊🏾|raised-fist-medium-dark-skin-tone|✊|raised-fist|true|1
✊🏿|raised-fist-dark-skin-tone|✊|raised-fist|true|1
🤛|left-facing-fist|🤛|left-facing-fist|true|1
🤛🏻|left-facing-fist-light-skin-tone|🤛|left-facing-fist|true|1
🤛🏼|left-facing-fist-medium-light-skin-tone|🤛|left-facing-fist|true|1
🤛🏽|left-facing-fist-medium-skin-tone|🤛|left-facing-fist|true|1
🤛🏾|left-facing-fist-medium-dark-skin-tone|🤛|left-facing-fist|true|1
🤛🏿|left-facing-fist-dark-skin-tone|🤛|left-facing-fist|true|1
🤜|right-facing-fist|🤜|right-facing-fist|true|1
🤜🏻|right-facing-fist-light-skin-tone|🤜|right-facing-fist|true|1
🤜🏼|right-facing-fist-medium-light-skin-tone|🤜|right-facing-fist|true|1
🤜🏽|right-facing-fist-medium-skin-tone|🤜|right-facing-fist|true|1
🤜🏾|right-facing-fist-medium-dark-skin-tone|🤜|right-facing-fist|true|1
🤜🏿|right-facing-fist-dark-skin-tone|🤜|right-facing-fist|true|1
🤞|crossed-fingers|🤞|crossed-fingers|true|1
🤞🏻|crossed-fingers-light-skin-tone|🤞|crossed-fingers|true|1
🤞🏼|crossed-fingers-medium-light-skin-tone|🤞|crossed-fingers|true|1
🤞🏽|crossed-fingers-medium-skin-tone|🤞|crossed-fingers|true|1
🤞🏾|crossed-fingers-medium-dark-skin-tone|🤞|crossed-fingers|true|1
🤞🏿|crossed-fingers-dark-skin-tone|🤞|crossed-fingers|true|1
✌|victory-hand|✌|victory-hand|true|1
✌🏻|victory-hand-light-skin-tone|✌|victory-hand|true|1
✌🏼|victory-hand-medium-light-skin-tone|✌|victory-hand|true|1
✌🏽|victory-hand-medium-skin-tone|✌|victory-hand|true|1
✌🏾|victory-hand-medium-dark-skin-tone|✌|victory-hand|true|1
✌🏿|victory-hand-dark-skin-tone|✌|victory-hand|true|1
🤟|love-you-gesture|🤟|love-you-gesture|true|1
🤟🏻|love-you-gesture-light-skin-tone|🤟|love-you-gesture|true|1
🤟🏼|love-you-gesture-medium-light-skin-tone|🤟|love-you-gesture|true|1
🤟🏽|love-you-gesture-medium-skin-tone|🤟|love-you-gesture|true|1
🤟🏾|love-you-gesture-medium-dark-skin-tone|🤟|love-you-gesture|true|1
🤟🏿|love-you-gesture-dark-skin-tone|🤟|love-you-gesture|true|1
🤘|sign-of-the-horns|🤘|sign-of-the-horns|true|1
🤘🏻|sign-of-the-horns-light-skin-tone|🤘|sign-of-the-horns|true|1
🤘🏼|sign-of-the-horns-medium-light-skin-tone|🤘|sign-of-the-horns|true|1
🤘🏽|sign-of-the-horns-medium-skin-tone|🤘|sign-of-the-horns|true|1
🤘🏾|sign-of-the-horns-medium-dark-skin-tone|🤘|sign-of-the-horns|true|1
🤘🏿|sign-of-the-horns-dark-skin-tone|🤘|sign-of-the-horns|true|1
👌|ok-hand|👌|ok-hand|true|1
👌🏻|ok-hand-light-skin-tone|👌|ok-hand|true|1
👌🏼|ok-hand-medium-light-skin-tone|👌|ok-hand|true|1
👌🏽|ok-hand-medium-skin-tone|👌|ok-hand|true|1
👌🏾|ok-hand-medium-dark-skin-tone|👌|ok-hand|true|1
👌🏿|ok-hand-dark-skin-tone|👌|ok-hand|true|1
🤌|pinched-fingers|🤌|pinched-fingers|true|1
🤌🏻|pinched-fingers-light-skin-tone|🤌|pinched-fingers|true|1
🤌🏼|pinched-fingers-medium-light-skin-tone|🤌|pinched-fingers|true|1
🤌🏽|pinched-fingers-medium-skin-tone|🤌|pinched-fingers|true|1
🤌🏾|pinched-fingers-medium-dark-skin-tone|🤌|pinched-fingers|true|1
🤌🏿|pinched-fingers-dark-skin-tone|🤌|pinched-fingers|true|1
🤏|pinching-hand|🤏|pinching-hand|true|1
🤏🏻|pinching-hand-light-skin-tone|🤏|pinching-hand|true|1
🤏🏼|pinching-hand-medium-light-skin-tone|🤏|pinching-hand|true|1
🤏🏽|pinching-hand-medium-skin-tone|🤏|pinching-hand|true|1
🤏🏾|pinching-hand-medium-dark-skin-tone|🤏|pinching-hand|true|1
🤏🏿|pinching-hand-dark-skin-tone|🤏|pinching-hand|true|1
👈|backhand-index-pointing-left|👈|backhand-index-pointing-left|true|1
👈🏻|backhand-index-pointing-left-light-skin-tone|👈|backhand-index-pointing-left|true|1
👈🏼|backhand-index-pointing-left-medium-light-skin-tone|👈|backhand-index-pointing-left|true|1
👈🏽|backhand-index-pointing-left-medium-skin-tone|👈|backhand-index-pointing-left|true|1
👈🏾|backhand-index-pointing-left-medium-dark-skin-tone|👈|backhand-index-pointing-left|true|1
👈🏿|backhand-index-pointing-left-dark-skin-tone|👈|backhand-index-pointing-left|true|1
👉|backhand-index-pointing-right|👉|backhand-index-pointing-right|true|1
👉🏻|backhand-index-pointing-right-light-skin-tone|👉|backhand-index-pointing-right|true|1
👉🏼|backhand-index-pointing-right-medium-light-skin-tone|👉|backhand-index-pointing-right|true|1
👉🏽|backhand-index-pointing-right-medium-skin-tone|👉|backhand-index-pointing-right|true|1
👉🏾|backhand-index-pointing-right-medium-dark-skin-tone|👉|backhand-index-pointing-right|true|1
👉🏿|backhand-index-pointing-right-dark-skin-tone|👉|backhand-index-pointing-right|true|1
👆|backhand-index-pointing-up|👆|backhand-index-pointing-up|true|1
👆🏻|backhand-index-pointing-up-light-skin-tone|👆|backhand-index-pointing-up|true|1
👆🏼|backhand-index-pointing-up-medium-light-skin-tone|👆|backhand-index-pointing-up|true|1
👆🏽|backhand-index-pointing-up-medium-skin-tone|👆|backhand-index-pointing-up|true|1
👆🏾|backhand-index-pointing-up-medium-dark-skin-tone|👆|backhand-index-pointing-up|true|1
👆🏿|backhand-index-pointing-up-dark-skin-tone|👆|backhand-index-pointing-up|true|1
👇|backhand-index-pointing-down|👇|backhand-index-pointing-down|true|1
👇🏻|backhand-index-pointing-down-light-skin-tone|👇|backhand-index-pointing-down|true|1
👇🏼|backhand-index-pointing-down-medium-light-skin-tone|👇|backhand-index-pointing-down|true|1
👇🏽|backhand-index-pointing-down-medium-skin-tone|👇|backhand-index-pointing-down|true|1
👇🏾|backhand-index-pointing-down-medium-dark-skin-tone|👇|backhand-index-pointing-down|true|1
👇🏿|backhand-index-pointing-down-dark-skin-tone|👇|backhand-index-pointing-down|true|1
☝|index-pointing-up|☝|index-pointing-up|true|1
☝🏻|index-pointing-up-light-skin-tone|☝|index-pointing-up|true|1
☝🏼|index-pointing-up-medium-light-skin-tone|☝|index-pointing-up|true|1
☝🏽|index-pointing-up-medium-skin-tone|☝|index-pointing-up|true|1
☝🏾|index-pointing-up-medium-dark-skin-tone|☝|index-pointing-up|true|1
